id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,10414,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19467950.0,19467950.0,False,,1,,,,2023-08-26T04:35:00.000Z,26056.77380768779,11853753779.086262,-7.3315,-0.03357629,0.08881906,0.32619039,-11.54195804,-14.24582162,-4.15850659,507271969649.37555,48.2742,547192249961.44,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
1027,Ethereum,ETH,ethereum,7260,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120216173.39680196,120216173.39680196,True,,2,,,,2023-08-26T04:35:00.000Z,1651.7330131069273,5011597648.411031,-5.6484,-0.09688414,0.1338666,-0.51453843,-12.11123252,-11.84947137,-10.74679692,198565022308.88455,18.8966,198565022308.88,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
825,Tether USDt,USDT,tether,60017,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,82851601095.74326,85439257711.57307,True,,3,,,,2023-08-26T04:35:00.000Z,0.9995325830928645,18787170390.550823,-9.0272,0.00527033,-0.02428686,-0.01095611,-0.03993808,-0.06440428,-0.08675644,82812874856.60786,7.8812,85399321957.99,,2023-08-26T04:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-26 10:07:27.491160
1839,BNB,BNB,bnb,1576,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153851098.8910107,153851098.8910107,False,,4,,,,2023-08-26T04:35:00.000Z,217.44741323577213,430982664.6312992,3.5856,-0.07738241,0.64376995,0.94288785,-9.54811913,-8.69041742,-29.57631062,33454523477.33125,3.1837,33454523477.33,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
52,XRP,XRP,xrp,1040,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52914193551.0,99988485729.0,False,,5,,,,2023-08-26T04:35:00.000Z,0.5220544730222568,1004997503.6846163,11.8456,-0.41961915,1.28489619,3.1997752,-27.53557239,8.21837772,10.26857512,27624091429.665005,2.629,52205447302.23,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
3408,USD Coin,USDC,usd-coin,13719,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,25976213984.702778,25976213984.702778,False,,6,,,,2023-08-26T04:35:00.000Z,1.0000634482149033,2704108288.7484913,-8.0304,0.00624682,-0.00993263,-0.00183184,0.009952,-0.00585014,-0.00506862,25977862129.110054,2.4723,25977862129.11,,2023-08-26T04:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-26 10:07:27.491160
2010,Cardano,ADA,cardano,900,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35059048070.958,36107356400.571,False,,7,,,,2023-08-26T04:35:00.000Z,0.2598867920242166,170916995.0388601,-24.3933,-0.08410808,-0.85140399,-0.8762942,-16.7512913,-7.8871022,-30.50045082,9111383534.584074,0.8671,11694905641.09,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
74,Dogecoin,DOGE,dogecoin,771,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140742996383.70523,140742996383.70523,True,,8,,,,2023-08-26T04:35:00.000Z,0.06314029350778465,186585825.00737727,-15.6537,-0.06633658,1.72628747,-0.9068541,-19.21556788,-3.25973997,-13.34701131,8886554100.832222,0.8456,8886554100.83,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
5426,Solana,SOL,solana,499,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,407893047.65986514,555818172.4563485,True,,9,,,,2023-08-26T04:35:00.000Z,20.36570923220796,259270441.3497428,-21.8959,-0.01459766,-1.00933562,-5.04337328,-18.82596501,23.37217527,-0.45845476,8307031206.479957,0.7906,11319631286.22,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
1958,TRON,TRX,tron,813,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89376040827.95895,89376076327.57773,True,,10,71659659264.0,5538015273.496338,,2023-08-26T04:35:00.000Z,0.07728218819871638,163904323.20989472,-6.6983,0.07424099,1.21596695,5.27686849,-6.29051039,3.63506607,-0.23390508,6907176007.722483,0.6573,6907178751.21,,2023-08-26T04:35:00.000Z,,,,,,2023-08-26 10:07:27.491160
